Size InPlaceInsertion InPlaceSelection HeapPQSort MergeSort QuickSort
1000 7 8 8 3 1
2000 17 3 1 1 1
3000 43 5 1 3 1
4000 22 10 1 4 1
5000 36 16 2 4 1
6000 37 23 1 5 1
7000 48 48 1 5 1
8000 62 63 1 5 1
9000 80 80 1 6 1
10000 97 96 1 2 1
11000 114 116 1 2 1
12000 136 147 2 2 2
13000 172 166 1 3 2
14000 202 194 1 3 2
15000 221 223 1 3 2
16000 358 262 1 3 2
17000 311 287 1 3 2
18000 331 326 1 4 2
19000 381 377 1 4 3
20000 417 408 1 4 3
21000 456 448 2 5 3
22000 516 480 2 4 3
23000 579 572 2 5 3
24000 601 573 2 5 3
25000 656 620 2 5 4
26000 699 662 2 5 3
27000 791 765 2 5 4
28000 878 783 2 5 4
29000 911 845 2 6 4
30000 1014 955 2 7 4
31000 1073 954 2 7 4
32000 1031 1055 2 7 4
33000 1235 1071 2 7 5
34000 1275 1277 2 8 5
35000 1402 1313 3 8 5
36000 1512 1253 3 8 5
37000 1548 1325 3 8 5
38000 1542 1395 3 9 5
39000 1619 1464 3 8 6
40000 1706 1606 3 9 6
41000 1793 1738 3 11 6
42000 2146 1766 3 9 6
43000 2070 1835 3 9 6
44000 2170 1951 3 10 6
45000 2300 2025 3 10 6
46000 2358 2135 4 11 7
47000 2531 2216 4 11 7
48000 2640 2288 4 11 7
49000 2693 2378 4 11 7
50000 2821 2521 4 13 7
51000 3141 2621 4 12 7
52000 3062 2638 4 12 7
53000 3211 2791 4 12 8
54000 3350 2793 4 12 8
55000 3548 2907 4 13 8
56000 3660 3055 5 13 8
57000 3605 3133 4 13 8
58000 3716 3248 4 14 9
59000 3876 3356 7 18 9
60000 4011 3486 5 15 9
61000 4178 3596 4 15 9
62000 4314 3710 4 15 9
63000 4437 3834 5 15 9
64000 4566 3978 4 16 9
65000 4732 4085 5 15 9
66000 4882 4203 5 16 10
67000 5020 4339 5 16 10
68000 5196 4515 5 16 10
69000 5335 4598 6 17 11
70000 5534 4754 6 17 10
71000 5658 4873 6 17 11
72000 5849 5017 6 19 11
73000 6013 5164 6 19 11
74000 6172 5285 6 20 11
75000 6337 5573 6 19 12
76000 6588 5500 6 19 11
77000 6610 5595 6 19 18
78000 6730 5779 6 19 12
79000 6878 5901 6 19 12
80000 7112 6073 6 20 12
81000 7311 6203 7 20 13
82000 7406 6374 6 20 13
83000 7657 6533 7 21 14
84000 7830 6655 7 21 13
85000 8042 6829 7 21 13
86000 8214 7021 7 21 14
87000 8582 7209 7 22 14
88000 8625 7355 7 22 14
89000 8871 7929 10 23 15
90000 9867 8200 8 24 15
91000 10897 8910 9 26 14
92000 10685 9122 9 26 15
93000 10881 9329 8 25 15
94000 11103 9523 8 26 16
95000 11346 9734 10 26 16
96000 11606 9942 8 25 15
97000 11859 10147 12 32 15
98000 12150 10351 12 33 16
99000 12377 10558 11 29 17
100000 12660 10844 10 25 16
